paso,tiempo_s,ps0_raw,ps7_raw,ps0_norm,ps7_norm,front_norm_crudo,front_norm_filtrado,front_metros_crudo,front_metros_kalman,ganancia_K,delta_d_encoder,ps1_norm,ps6_norm,ps2_norm,ps5_norm,accion
54,3.456,72.5,62.9,0.0177,0.0154,0.0165,0.0163,0.09835,0.07129,0.13177,0.00412,0.0273,0.032,0.0627,0.0164,avanzar
55,3.52,68.7,65.6,0.0168,0.016,0.0164,0.0164,0.09836,0.07128,0.13177,0.00412,0.0298,0.0306,0.0602,0.0162,avanzar
56,3.584,60.3,66.6,0.0147,0.0163,0.0155,0.0161,0.09845,0.07128,0.13177,0.00412,0.0279,0.0299,0.0615,0.0162,avanzar
57,3.648,75.4,3751.2,0.0184,0.9158,0.4671,0.1514,0.05329,0.06712,0.13177,0.00206,0.0173,0.0529,0.0255,0.0177,avanzar
58,3.712,60.3,71.3,0.0147,0.0174,0.0161,0.1108,0.09839,0.06789,0.13177,0.003862,0.0252,0.0161,0.0167,0.0161,avanzar
59,3.776,61.9,74.6,0.0151,0.0182,0.0167,0.0826,0.09833,0.06855,0.13177,0.003862,0.0865,0.0162,0.0163,0.5127,avanzar
60,3.84,70.8,72.2,0.0173,0.0176,0.0175,0.063,0.09825,0.069,0.13177,0.003991,0.015,0.0179,0.0163,0.0176,avanzar
61,3.904,60.8,69.7,0.0148,0.017,0.0159,0.0489,0.09841,0.06941,0.13177,0.003991,0.0151,0.0159,0.0179,0.0152,avanzar
62,3.968,67.4,60.9,0.0165,0.0149,0.0157,0.0389,0.09843,0.06977,0.13177,0.003991,0.016,0.0148,0.0164,0.016,avanzar
63,4.032,66.7,70.0,0.0163,0.0171,0.0167,0.0323,0.09833,0.07007,0.13177,0.003991,0.05,0.0169,0.0414,0.0167,avanzar
64,4.096,67.8,68.2,0.0166,0.0166,0.0166,0.0276,0.09834,0.07033,0.13177,0.003991,0.0175,0.0173,0.0161,0.0169,avanzar
65,4.16,70.5,75.6,0.0172,0.0185,0.0178,0.0246,0.09822,0.07043,0.13177,0.00412,0.0168,0.0162,0.0175,0.0155,avanzar
66,4.224,66.1,66.8,0.0161,0.0163,0.0162,0.0221,0.09838,0.07064,0.13177,0.003991,0.0161,0.0166,0.0171,0.0157,avanzar
67,4.288,66.7,70.0,0.0163,0.0171,0.0167,0.0205,0.09833,0.07072,0.13177,0.00412,0.0172,0.0172,0.0176,0.0166,avanzar
68,4.352,63.3,74.7,0.0155,0.0182,0.0169,0.0194,0.09831,0.07083,0.13177,0.004055,0.0166,0.0155,0.0152,0.0161,avanzar
69,4.416,60.4,69.1,0.0147,0.0169,0.0158,0.0183,0.09842,0.07095,0.13177,0.004055,0.0167,0.0162,0.016,0.0173,avanzar
70,4.48,68.4,71.5,0.0167,0.0175,0.0171,0.0179,0.09829,0.07097,0.13177,0.00412,0.0162,0.0142,0.0177,0.0173,avanzar
71,4.544,68.7,62.6,0.0168,0.0153,0.016,0.0174,0.0984,0.07101,0.13177,0.00412,0.0179,0.0151,0.0175,0.0167,avanzar
72,4.608,68.6,71.3,0.0167,0.0174,0.0171,0.0173,0.09829,0.07108,0.13177,0.004055,0.0143,0.0158,0.0161,0.0164,avanzar
73,4.672,65.3,68.4,0.0159,0.0167,0.0163,0.017,0.09837,0.0711,0.13177,0.00412,0.0161,0.0177,0.0154,0.0166,avanzar
74,4.736,64.8,64.7,0.0158,0.0158,0.0158,0.0166,0.09842,0.07118,0.13177,0.004055,0.0173,0.0149,0.0157,0.0171,avanzar
75,4.8,69.0,65.3,0.0169,0.0159,0.0164,0.0166,0.09836,0.07119,0.13177,0.00412,0.0157,0.0163,0.0154,0.0165,avanzar
76,4.864,67.8,66.2,0.0165,0.0162,0.0163,0.0165,0.09837,0.07119,0.13177,0.00412,0.0157,0.0165,0.0169,0.0157,avanzar
77,4.928,65.5,70.8,0.016,0.0173,0.0166,0.0165,0.09834,0.07119,0.13177,0.00412,0.0164,0.0162,0.0157,0.0173,avanzar
78,4.992,70.6,65.6,0.0172,0.016,0.0166,0.0166,0.09834,0.07119,0.13177,0.00412,0.0175,0.0153,0.0163,0.0176,avanzar
79,5.056,64.2,71.1,0.0157,0.0174,0.0165,0.0166,0.09835,0.07125,0.13177,0.004055,0.0149,0.0168,0.0165,0.0155,avanzar
80,5.12,59.8,69.1,0.0146,0.0169,0.0157,0.0163,0.09843,0.07125,0.13177,0.00412,0.0159,0.0161,0.0168,0.0164,avanzar
81,5.184,65.8,71.9,0.0161,0.0176,0.0168,0.0165,0.09832,0.0713,0.13177,0.004055,0.0165,0.0168,0.0175,0.0171,avanzar
82,5.248,69.3,70.3,0.0169,0.0172,0.017,0.0166,0.0983,0.07128,0.13177,0.00412,0.0166,0.0161,0.0149,0.0182,avanzar
83,5.312,67.9,69.7,0.0166,0.017,0.0168,0.0167,0.09832,0.07127,0.13177,0.00412,0.0156,0.0162,0.0156,0.0164,avanzar
84,5.376,62.9,71.0,0.0154,0.0173,0.0163,0.0166,0.09837,0.07126,0.13177,0.00412,0.0156,0.0155,0.0157,0.0169,avanzar
85,5.44,63.3,66.8,0.0155,0.0163,0.0159,0.0164,0.09841,0.07126,0.13177,0.00412,0.0153,0.0162,0.0162,0.0171,avanzar
86,5.504,70.5,69.8,0.0172,0.0171,0.0171,0.0166,0.09829,0.07125,0.13177,0.00412,0.0163,0.0171,0.0168,0.0164,avanzar
87,5.568,65.6,68.9,0.016,0.0168,0.0164,0.0165,0.09836,0.07124,0.13177,0.00412,0.0161,0.0171,0.0164,0.0152,avanzar
88,5.632,61.3,70.3,0.015,0.0172,0.0161,0.0164,0.09839,0.0713,0.13177,0.004055,0.0178,0.0146,0.0158,0.0176,avanzar
89,5.696,68.0,75.6,0.0166,0.0185,0.0175,0.0167,0.09825,0.07127,0.13177,0.00412,0.0167,0.0161,0.0174,0.0164,avanzar
90,5.76,69.6,68.5,0.017,0.0167,0.0169,0.0168,0.09831,0.07126,0.13177,0.00412,0.0159,0.0165,0.0151,0.0158,avanzar
91,5.824,64.8,68.1,0.0158,0.0166,0.0162,0.0166,0.09838,0.07131,0.13177,0.004055,0.0182,0.015,0.0191,0.0173,avanzar
92,5.888,63.6,65.0,0.0155,0.0159,0.0157,0.0163,0.09843,0.07131,0.13177,0.00412,0.0161,0.0142,0.017,0.0166,avanzar
93,5.952,68.3,66.9,0.0167,0.0163,0.0165,0.0164,0.09835,0.0713,0.13177,0.00412,0.0151,0.0171,0.0159,0.0148,avanzar
94,6.016,69.0,68.1,0.0169,0.0166,0.0167,0.0165,0.09833,0.07128,0.13177,0.00412,0.0161,0.0154,0.0171,0.0182,avanzar
95,6.08,67.2,65.3,0.0164,0.0159,0.0162,0.0164,0.09838,0.07127,0.13177,0.00412,0.0158,0.0175,0.0153,0.0181,avanzar
96,6.144,68.6,65.4,0.0168,0.016,0.0164,0.0164,0.09836,0.07127,0.13177,0.00412,0.0152,0.0159,0.0166,0.0158,avanzar
97,6.208,70.9,69.5,0.0173,0.017,0.0171,0.0166,0.09829,0.07125,0.13177,0.00412,0.0167,0.017,0.0165,0.0172,avanzar
98,6.272,66.8,67.8,0.0163,0.0165,0.0164,0.0166,0.09836,0.07125,0.13177,0.00412,0.0157,0.0177,0.0176,0.0169,avanzar
99,6.336,68.3,65.1,0.0167,0.0159,0.0163,0.0165,0.09837,0.0713,0.13177,0.004055,0.0156,0.0164,0.0175,0.0156,avanzar
100,6.4,73.9,64.6,0.0181,0.0158,0.0169,0.0166,0.09831,0.07128,0.13177,0.00412,0.0178,0.0163,0.0175,0.0154,avanzar
101,6.464,72.2,61.3,0.0176,0.015,0.0163,0.0165,0.09837,0.07127,0.13177,0.00412,0.016,0.0154,0.0164,0.0183,avanzar
102,6.528,63.4,71.7,0.0155,0.0175,0.0165,0.0165,0.09835,0.07132,0.13177,0.004055,0.0162,0.0153,0.0166,0.0156,avanzar
103,6.592,66.3,61.2,0.0162,0.0149,0.0156,0.0162,0.09844,0.07132,0.13177,0.00412,0.0178,0.0146,0.0171,0.017,avanzar
104,6.656,72.6,68.9,0.0177,0.0168,0.0173,0.0165,0.09827,0.07129,0.13177,0.00412,0.0167,0.0148,0.0169,0.0161,avanzar
105,6.72,63.7,68.5,0.0155,0.0167,0.0161,0.0164,0.09839,0.07129,0.13177,0.00412,0.0164,0.0165,0.0174,0.0157,avanzar
106,6.784,71.3,66.6,0.0174,0.0163,0.0168,0.0165,0.09832,0.07127,0.13177,0.00412,0.0173,0.0164,0.0164,0.016,avanzar
107,6.848,65.7,63.6,0.016,0.0155,0.0158,0.0163,0.09842,0.07127,0.13177,0.00412,0.0155,0.0156,0.0165,0.0165,avanzar
108,6.912,59.1,68.6,0.0144,0.0167,0.0156,0.0161,0.09844,0.07128,0.13177,0.00412,0.0164,0.0149,0.0168,0.0154,avanzar
109,6.976,64.2,64.4,0.0157,0.0157,0.0157,0.016,0.09843,0.07128,0.13177,0.00412,0.0172,0.0158,0.0155,0.0154,avanzar
110,7.04,74.0,63.2,0.0181,0.0154,0.0168,0.0162,0.09832,0.07132,0.13177,0.004055,0.016,0.016,0.0162,0.0149,avanzar
111,7.104,68.0,62.1,0.0166,0.0152,0.0159,0.0161,0.09841,0.07131,0.13177,0.00412,0.0172,0.0156,0.0157,0.0166,avanzar
112,7.168,67.2,66.5,0.0164,0.0162,0.0163,0.0162,0.09837,0.0713,0.13177,0.00412,0.016,0.0151,0.0163,0.0159,avanzar
113,7.232,68.3,64.8,0.0167,0.0158,0.0162,0.0162,0.09838,0.07135,0.13177,0.004055,0.0168,0.0157,0.0164,0.0162,avanzar
114,7.296,63.3,65.2,0.0155,0.0159,0.0157,0.016,0.09843,0.07134,0.13177,0.00412,0.0158,0.0159,0.0168,0.0173,avanzar
115,7.36,67.1,72.9,0.0164,0.0178,0.0171,0.0164,0.09829,0.07132,0.13177,0.00412,0.0162,0.0172,0.0167,0.0159,avanzar
116,7.424,67.0,65.9,0.0163,0.0161,0.0162,0.0163,0.09838,0.0713,0.13177,0.00412,0.0179,0.0158,0.0159,0.0156,avanzar
117,7.488,68.9,70.6,0.0168,0.0172,0.017,0.0165,0.0983,0.07128,0.13177,0.00412,0.0169,0.0178,0.0169,0.0158,avanzar
118,7.552,70.0,68.0,0.0171,0.0166,0.0169,0.0166,0.09831,0.07127,0.13177,0.00412,0.0175,0.0178,0.0164,0.017,avanzar
119,7.616,65.1,67.1,0.0159,0.0164,0.0161,0.0165,0.09839,0.07127,0.13177,0.00412,0.0168,0.0157,0.0159,0.0154,avanzar
120,7.68,62.2,67.8,0.0152,0.0166,0.0159,0.0163,0.09841,0.07127,0.13177,0.00412,0.0166,0.0171,0.0164,0.0165,avanzar
121,7.744,68.6,66.5,0.0167,0.0162,0.0165,0.0164,0.09835,0.07126,0.13177,0.00412,0.0159,0.0165,0.017,0.0168,avanzar
122,7.808,62.7,62.8,0.0153,0.0153,0.0153,0.016,0.09847,0.07132,0.13177,0.004055,0.0166,0.0169,0.0162,0.0163,avanzar
123,7.872,68.7,70.4,0.0168,0.0172,0.017,0.0163,0.0983,0.0713,0.13177,0.00412,0.016,0.0177,0.017,0.0166,avanzar
124,7.936,63.6,60.4,0.0155,0.0148,0.0151,0.016,0.09849,0.07131,0.13177,0.00412,0.018,0.0143,0.015,0.0152,avanzar
125,8.0,67.3,70.2,0.0164,0.0171,0.0168,0.0162,0.09832,0.07135,0.13177,0.004055,0.0151,0.0159,0.0161,0.0168,avanzar
126,8.064,69.2,63.5,0.0169,0.0155,0.0162,0.0162,0.09838,0.07133,0.13177,0.00412,0.0169,0.0166,0.0178,0.0171,avanzar
127,8.128,70.2,63.1,0.0171,0.0154,0.0163,0.0162,0.09837,0.07132,0.13177,0.00412,0.0165,0.0156,0.0166,0.0165,avanzar
128,8.192,64.3,67.2,0.0157,0.0164,0.0161,0.0162,0.09839,0.07131,0.13177,0.00412,0.0182,0.0165,0.0169,0.0159,avanzar
129,8.256,69.9,64.6,0.0171,0.0158,0.0164,0.0163,0.09836,0.0713,0.13177,0.00412,0.0173,0.0162,0.0157,0.0178,avanzar
130,8.32,64.4,67.4,0.0157,0.0165,0.0161,0.0162,0.09839,0.07129,0.13177,0.00412,0.0168,0.0175,0.0163,0.0169,avanzar
131,8.384,68.6,65.3,0.0167,0.0159,0.0163,0.0162,0.09837,0.07128,0.13177,0.00412,0.0165,0.0168,0.017,0.0165,avanzar
132,8.448,61.0,63.8,0.0149,0.0156,0.0152,0.0159,0.09848,0.07129,0.13177,0.00412,0.0165,0.0173,0.0178,0.0137,avanzar
133,8.512,67.2,69.7,0.0164,0.017,0.0167,0.0162,0.09833,0.07127,0.13177,0.00412,0.0166,0.0147,0.0156,0.0152,avanzar
134,8.576,71.5,65.5,0.0175,0.016,0.0167,0.0163,0.09833,0.07132,0.13177,0.004055,0.0174,0.0156,0.0161,0.0152,avanzar
135,8.64,66.8,64.4,0.0163,0.0157,0.016,0.0162,0.0984,0.07131,0.13177,0.00412,0.0164,0.0164,0.0169,0.0173,avanzar
136,8.704,67.9,59.2,0.0166,0.0145,0.0155,0.016,0.09845,0.07131,0.13177,0.00412,0.0162,0.0162,0.0155,0.0151,avanzar
137,8.768,65.3,74.6,0.0159,0.0182,0.0171,0.0163,0.09829,0.07134,0.13177,0.004055,0.0158,0.0161,0.0158,0.0176,avanzar
138,8.832,68.6,68.6,0.0167,0.0168,0.0167,0.0165,0.09833,0.07132,0.13177,0.00412,0.0154,0.0153,0.0169,0.0162,avanzar
139,8.896,69.5,69.1,0.017,0.0169,0.0169,0.0166,0.09831,0.0713,0.13177,0.00412,0.0177,0.0167,0.016,0.0166,avanzar
140,8.96,72.9,67.7,0.0178,0.0165,0.0172,0.0168,0.09828,0.07128,0.13177,0.00412,0.0165,0.0171,0.0149,0.016,avanzar
141,9.024,74.5,65.4,0.0182,0.016,0.0171,0.0169,0.09829,0.07126,0.13177,0.00412,0.0157,0.0165,0.017,0.015,avanzar
142,9.088,62.0,64.1,0.0151,0.0157,0.0154,0.0164,0.09846,0.07127,0.13177,0.00412,0.0161,0.0171,0.016,0.0161,avanzar
143,9.152,66.5,69.7,0.0162,0.017,0.0166,0.0165,0.09834,0.07126,0.13177,0.00412,0.0164,0.0166,0.0163,0.0173,avanzar
144,9.216,65.9,65.7,0.0161,0.016,0.0161,0.0164,0.09839,0.07126,0.13177,0.00412,0.0164,0.0159,0.0168,0.0172,avanzar
145,9.28,70.6,64.5,0.0172,0.0157,0.0165,0.0164,0.09835,0.07125,0.13177,0.00412,0.0155,0.0186,0.0168,0.0167,avanzar
146,9.344,72.8,64.8,0.0178,0.0158,0.0168,0.0165,0.09832,0.0713,0.13177,0.004055,0.0176,0.018,0.0172,0.0162,avanzar
147,9.408,63.2,70.3,0.0154,0.0172,0.0163,0.0165,0.09837,0.07129,0.13177,0.00412,0.0149,0.0163,0.018,0.0158,avanzar
148,9.472,65.9,66.9,0.0161,0.0163,0.0162,0.0164,0.09838,0.07128,0.13177,0.00412,0.0172,0.0148,0.0174,0.0167,avanzar
149,9.536,66.0,67.4,0.0161,0.0165,0.0163,0.0164,0.09837,0.07133,0.13177,0.004055,0.0161,0.0161,0.0173,0.0165,avanzar
150,9.6,73.9,64.0,0.018,0.0156,0.0168,0.0165,0.09832,0.07131,0.13177,0.00412,0.0171,0.016,0.0156,0.016,avanzar
151,9.664,69.0,61.8,0.0168,0.0151,0.016,0.0163,0.0984,0.0713,0.13177,0.00412,0.0179,0.0171,0.0164,0.0161,avanzar
152,9.728,70.0,63.9,0.0171,0.0156,0.0163,0.0163,0.09837,0.07129,0.13177,0.00412,0.0152,0.0154,0.0149,0.0162,avanzar
153,9.792,60.7,72.6,0.0148,0.0177,0.0163,0.0163,0.09837,0.07128,0.13177,0.00412,0.0166,0.0168,0.0167,0.0164,avanzar
154,9.856,66.8,61.4,0.0163,0.015,0.0157,0.0161,0.09843,0.07129,0.13177,0.00412,0.0168,0.0166,0.0158,0.0149,avanzar
155,9.92,66.3,66.1,0.0162,0.0161,0.0162,0.0161,0.09838,0.07128,0.13177,0.00412,0.017,0.0171,0.0152,0.0163,avanzar
156,9.984,74.3,64.1,0.0181,0.0157,0.0169,0.0164,0.09831,0.07126,0.13177,0.00412,0.0175,0.0162,0.0165,0.0167,avanzar
157,10.048,66.1,62.0,0.0161,0.0151,0.0156,0.0161,0.09844,0.07132,0.13177,0.004055,0.016,0.0157,0.0164,0.0168,avanzar
158,10.112,67.1,68.4,0.0164,0.0167,0.0165,0.0163,0.09835,0.07131,0.13177,0.00412,0.0163,0.0155,0.0162,0.0143,avanzar
159,10.176,65.0,63.5,0.0159,0.0155,0.0157,0.0161,0.09843,0.07131,0.13177,0.00412,0.0176,0.0181,0.0169,0.0151,avanzar
160,10.24,73.0,71.2,0.0178,0.0174,0.0176,0.0165,0.09824,0.07133,0.13177,0.004055,0.0174,0.0163,0.0161,0.017,avanzar
161,10.304,59.6,76.5,0.0146,0.0187,0.0166,0.0166,0.09834,0.07132,0.13177,0.00412,0.0166,0.0166,0.0178,0.0166,avanzar
162,10.368,61.3,68.7,0.015,0.0168,0.0159,0.0164,0.09841,0.07131,0.13177,0.00412,0.0155,0.0173,0.0162,0.0166,avanzar
163,10.432,66.6,69.0,0.0163,0.0168,0.0166,0.0164,0.09834,0.0713,0.13177,0.00412,0.0166,0.0152,0.0182,0.0179,avanzar
164,10.496,67.3,68.2,0.0164,0.0167,0.0165,0.0165,0.09835,0.07128,0.13177,0.00412,0.0153,0.0157,0.0174,0.0175,avanzar
165,10.56,66.8,75.1,0.0163,0.0183,0.0173,0.0167,0.09827,0.07126,0.13177,0.00412,0.0157,0.0156,0.0162,0.0158,avanzar
166,10.624,65.1,69.3,0.0159,0.0169,0.0164,0.0166,0.09836,0.07126,0.13177,0.00412,0.0164,0.0166,0.0148,0.0157,avanzar
167,10.688,65.2,66.4,0.0159,0.0162,0.0161,0.0165,0.09839,0.07126,0.13177,0.00412,0.017,0.0168,0.0167,0.016,avanzar
168,10.752,67.1,67.3,0.0164,0.0164,0.0164,0.0164,0.09836,0.07125,0.13177,0.00412,0.018,0.017,0.0162,0.0174,avanzar
169,10.816,70.6,65.8,0.0172,0.0161,0.0167,0.0165,0.09833,0.0713,0.13177,0.004055,0.0152,0.0162,0.0149,0.0176,avanzar
170,10.88,67.9,61.6,0.0166,0.015,0.0158,0.0163,0.09842,0.0713,0.13177,0.00412,0.0152,0.016,0.0156,0.0176,avanzar
171,10.944,63.6,72.3,0.0155,0.0176,0.0166,0.0164,0.09834,0.07134,0.13177,0.004055,0.0175,0.0152,0.0171,0.0151,avanzar
172,11.008,66.7,69.1,0.0163,0.0169,0.0166,0.0164,0.09834,0.07132,0.13177,0.00412,0.0161,0.0181,0.0169,0.0164,avanzar
